industry_type,total_direct_emissions,state_population,state_gdp_per_capita,state_policies_incentives,USDA_energy_invest_unit,USDA_energy_invest,renewables_percent
31,11.825155476132986,27914064,58033.62062,140,176,83600842.01,13.4
15,9.20111918723137,27914064,58033.62062,140,176,83600842.01,13.4
9,12.241341242040795,27914064,58033.62062,140,176,83600842.01,13.4
48,10.867567948246132,27914064,58033.62062,140,176,83600842.01,13.4
29,10.481978647182567,27914064,58033.62062,140,176,83600842.01,13.4
32,11.060709886103,27914064,58033.62062,140,176,83600842.01,13.4
28,11.62805474252333,27914064,58033.62062,140,176,83600842.01,13.4
29,11.634887171142761,27914064,58033.62062,140,176,83600842.01,13.4
47,10.45462521681793,27914064,58033.62062,140,176,83600842.01,13.4
31,15.788924021771757,27914064,58033.62062,140,176,83600842.01,13.4
28,10.397597524988944,27914064,58033.62062,140,176,83600842.01,13.4
46,14.431529324502032,27914064,58033.62062,140,176,83600842.01,13.4
29,11.08841893417613,27914064,58033.62062,140,176,83600842.01,13.4
28,10.67755634672628,27914064,58033.62062,140,176,83600842.01,13.4
48,9.914884855821557,27914064,58033.62062,140,176,83600842.01,13.4
29,11.66038790832426,27914064,58033.62062,140,176,83600842.01,13.4
29,11.580910583511377,27914064,58033.62062,140,176,83600842.01,13.4
46,11.245666951179846,27914064,58033.62062,140,176,83600842.01,13.4
30,12.175077387179375,27914064,58033.62062,140,176,83600842.01,13.4
46,9.989794414746823,27914064,58033.62062,140,176,83600842.01,13.4
46,14.006811109330547,27914064,58033.62062,140,176,83600842.01,13.4
46,14.652373502929027,27914064,58033.62062,140,176,83600842.01,13.4
29,12.484127921210991,27914064,58033.62062,140,176,83600842.01,13.4
32,9.495108101854083,27914064,58033.62062,140,176,83600842.01,13.4
32,11.608299370016784,27914064,58033.62062,140,176,83600842.01,13.4
32,11.09852334043238,27914064,58033.62062,140,176,83600842.01,13.4
29,10.315317362886764,27914064,58033.62062,140,176,83600842.01,13.4
46,15.461909232168797,27914064,58033.62062,140,176,83600842.01,13.4
29,11.446071219277728,27914064,58033.62062,140,176,83600842.01,13.4
29,10.728478408576892,27914064,58033.62062,140,176,83600842.01,13.4
47,11.085584372846565,27914064,58033.62062,140,176,83600842.01,13.4
29,9.26483158755869,27914064,58033.62062,140,176,83600842.01,13.4
32,11.35839531648718,27914064,58033.62062,140,176,83600842.01,13.4
29,9.339276271478653,27914064,58033.62062,140,176,83600842.01,13.4
29,11.570083227698854,27914064,58033.62062,140,176,83600842.01,13.4
28,14.118135434052277,27914064,58033.62062,140,176,83600842.01,13.4
31,14.480732363533733,27914064,58033.62062,140,176,83600842.01,13.4
9,10.801594272848597,27914064,58033.62062,140,176,83600842.01,13.4
29,11.551938002610337,27914064,58033.62062,140,176,83600842.01,13.4
46,12.804288492514498,27914064,58033.62062,140,176,83600842.01,13.4
46,10.535951703323928,27914064,58033.62062,140,176,83600842.01,13.4
46,15.489210256998476,27914064,58033.62062,140,176,83600842.01,13.4
46,13.764613530315845,27914064,58033.62062,140,176,83600842.01,13.4
29,12.354002875555791,27914064,58033.62062,140,176,83600842.01,13.4
29,11.40364567899645,27914064,58033.62062,140,176,83600842.01,13.4
46,14.291550330487292,27914064,58033.62062,140,176,83600842.01,13.4
29,11.665978668504916,27914064,58033.62062,140,176,83600842.01,13.4
29,10.287853292943575,27914064,58033.62062,140,176,83600842.01,13.4
9,11.34637999276,27914064,58033.62062,140,176,83600842.01,13.4
29,9.86581839509752,27914064,58033.62062,140,176,83600842.01,13.4
48,9.507087482535024,27914064,58033.62062,140,176,83600842.01,13.4
16,10.321275883531985,27914064,58033.62062,140,176,83600842.01,13.4
