,Facility Id,2020 Total reported emissions from Onshore Oil & Gas Production ,2019 Total reported emissions from Onshore Oil & Gas Production ,2018 Total reported emissions from Onshore Oil & Gas Production ,2017 Total reported emissions from Onshore Oil & Gas Production ,2016 Total reported emissions from Onshore Oil & Gas Production ,2015 Total reported emissions from Onshore Oil & Gas Production ,2014 Total reported emissions from Onshore Oil & Gas Production ,2013 Total reported emissions from Onshore Oil & Gas Production ,2012 Total reported emissions from Onshore Oil & Gas Production ,2011 Total reported emissions from Onshore Oil & Gas Production 
590,1009846,108433.406,106027.352,109672.412,119972.738,114982.51,129089.276,69458.458,92712.516,83800.858,71231.192
601,1008607,413385.31,508061.108,406683.796,454018.384,537301.674,196111.938,335801.41,188152.528,205236.804,305116.096
604,1008203,38252.76,36247.606,15317.828,2721.628,13135.85,16156.768,105225.336,165253.32,106162.062,63288.808
607,1009335,766170.232,412035.744,492027.882,523741.758,569358.464,633665.182,945008.96,908230.368,574652.126,690842.782
616,1009101,214166.39,258988.946,310170.232,324731.442,291238.69,252358.238,258601.982,257454.424,291850.37,239293.292
619,1008051,179655.928,255818.942,292985.518,304976.628,144173.2,275326.502,131574.16,90000.604,152571.188,141635.894
623,1005963,129117.7,132977.788,135684.442,154204.98,185004.938,95229.24,82150.578,69026.1,103006.806,108738.748
625,1008481,45510.85,82254.01,65665.334,80483.67,54030.788,62746.05,153165.252,65766.542,118737.476,145488.886
628,1009547,204115.896,194512.91,317037.068,299607.46,252275.022,181623.424,152176.858,18862.792,82637.748,46721.678
659,1009624,56853.536,83241.484,76211.32,65739.688,66768.884,131186.338,230926.978,224364.234,161318.57,182785.892
664,1009674,420954.64,692440.002,522845.722,263076.812,109457.896,25139.57,83280.24,49983.846,23226.558,24163.576
666,1009720,123330.192,166611.584,184871.75,102845.15,149308.632,174775.41,171685.472,72636.776,42728.194,60340.506
674,1009584,464727.604,486127.472,468829.318,409375.664,339353.304,515960.442,382387.418,242032.278,338016.242,265361.346
694,1009242,70511.778,177453.462,185573.628,91599.26,109285.37,158380.804,180400.59,185768.468,265258.008,256618.1
695,1007484,2781956.482,2874637.832,2917479.186,2224914.022,2759590.94,2767357.106,3745699.078,6607125.292,5020111.126,6181128.484
698,1008806,257659.244,336001.482,475572.094,833257.036,966616.86,1354807.154,1156476.182,925584.832,2185884.336,247173.94
699,1008807,25699.95,27312.848,37248.474,82181.08,55988.292,110699.776,112480.226,54225.962,829747.274,3956.8
706,1009301,157080.174,168939.92,173036.698,123404.214,131859.928,198108.9,223914.694,170476.734,123277.186,121854.038
711,1009706,203574.548,220477.38,175775.31,217238.148,280941.304,281435.144,227717.162,272474.368,207719.186,173091.276
713,1009106,280717.922,492470.72,410412.936,207846.998,169153.258,274058.936,375492.688,167841.116,178852.324,161506.674
721,1008474,725019.826,690915.828,666601.276,261873.532,261063.784,276770.476,279329.85,1090864.488,1317019.94,1750914.69
724,1010291,24974.384,23482.284,16254.488,26125.068,21350.426,23087.078,48541.98,22419.928,21862.028,30328.124
730,1008536,503738.286,621053.814,616133.802,615790.514,691103.47,830402.336,779469.592,736451.312,858837.664,865726.532
731,1008355,589667.056,1375248.038,1311509.59,1336185.338,1318556.858,555965.39,637582.758,644162.052,622609.794,682302.484
735,1006770,267475.188,287828.874515012,139492.408,63135.44,58994.47,44635.456,20825.528,17645.846,16665.326,20363.264
736,1006750,32490.086,33150.932,34842.376,34194.58,34802.33,30050.246,27613.906,23293.018,23892.21,41437.054
740,1007486,143345.04,178322.616,149992.252,147259.444,96299.966,107045.114,129868.648,125109.292,141643.514,150351.792
745,1008885,25850.204,25777.184,46682.06,62800.31,55479.904,75856.806,83183.646,94745.57,64958.242,53416.756
751,1008348,100216.626,97943.278,93280.45,112385.43,116466.782,165853.546,106501.818,113071.75,114239.896,121569.286
768,1009389,135000.794,150785.5065,154222.8302,186921.3011,192596.6422,281043.594,233591.17,201700.77,129132.48,89152.294
769,1009125,121779.754,261036.97,361675.02,354522.394,323107.844,313307.346,247733.628,154139.734,125361.662,239403.502
770,1009165,160982.796,278644.51,220666.978,250071.9,250568.908,326321.544,447640.024,440989.802,417721.272,366724.47
776,1008242,56111.448,78630.124,40047.154,38693.648,48404.78,58774.906,49614.772,39907.866,52584.01,62852.678
779,1008241,255599.41,299301.374,294943.622,276563.402,258625.778,269636.3,201960.542,272779.688,404718.438,189368.234
784,1010181,121939.48,127801.638,122176.42,156901.914,158637.564,147698.166,127826.95,116255.772,64399.496,130011.846
785,1008587,99431.566,113359.368,112400.704,138853.184,149648.694,133230.922,143481.474,152508.774,108066.79,111890.496
786,1008090,115272.138,146734.566,122895.948,122492.25,66063.88,56086.002,61271.498,635.65,756.4,1967.3
791,1008439,98074.464,131183.698,58288.74,45609.802,125172.434,171514.184,157686.964,143064.55,101346.804,100225.656
795,1008081,186427.048,160762.264,187609.684,150379.142,150707.728,68373.538,49133.02,57695.54,144384.604,161694.662
799,1009039,832796.65,858006.228,1385199.474,709735.144,137194.17,210348.17,419852.224,79480.18,46916.15,30838.462
805,1008190,35243.9,47341.764,55519.738,105151.842,57487.15,49160.514,58927.42,133405.906,158135.438,117721.996
