,Facility Id,Primary NAICS Code,Latest Reported Industry Type (sectors),2020 Total reported direct emissions,2019 Total reported direct emissions,2018 Total reported direct emissions,2017 Total reported direct emissions,2016 Total reported direct emissions,2015 Total reported direct emissions,2014 Total reported direct emissions,2013 Total reported direct emissions,2012 Total reported direct emissions,2011 Total reported direct emissions
4159,1004737,325211,Other,34751.618,41440.044,40231.746,32882.276,61210.366,68698.126,77485.5,74254.72,86565.214,123528.608
4161,1005445,336390,Other,25741.604,35814.516,39841.9,38160.856,37692.608,34111.272,32827.076,30936.984,30529.184,24649.008
4164,1002542,325194,Chemicals,47866.72,45434.228,57321.584,56045.34,62348.416,51415.108,59356.328,64805.606,60084.024,52359.052
4166,1003315,211130,Petroleum and Natural Gas Systems,230241.098,224865.624,223960.276,162195.348,160978.398,173007.356,187032.878,201415.228,240110.15,249762.672
4167,1000853,221112,Power Plants,4835981.372,5693450.928,5960272.152,5915467.754,5129276.17,3757744.594,5354415.942,5003716.982,5173611.762,6716150.742
4168,1000241,221112,Power Plants,619144.156,549863.864,331106.224,406674.392,475503.088,352678.392,285022.644,221615.528,452815.82,211538.964
4169,1002591,221330,Power Plants,42020.892,61100.968,80314.648,89495.464,97888.532,96326.388,92188.952,94191.196,101544.016,96070.288
4170,1005097,562212,Waste,83317.098,106545.098,95153.848,120693.398,68858.098,63836.048,47283.948,91322.4,111417.95,103811.448
4171,1000828,221112,Power Plants,1570654.478,1793301.604,1479575.32,1802595.808,1792504.402,1679119.096,1540362.46,1747555.594,1390376.726,1690526.856
4172,1011214,221118,Power Plants,28632.684,23564.182,20078.256,20880.044,16999.316,30805.62,25999.486,26434.31,30319.08,32101.77
4173,1000536,562212,Waste,53033.25,52407.2,46762.45,45065.15,43903.6,41836.75,44337.6,41015.35,40950.3,38544.6
4176,1004056,562212,Waste,45868.65,45784.55,45809.148,45489.348,52458.3,40643.548,41028.548,41370.298,49009.222175,47614.2155
4177,1005882,486210,Petroleum and Natural Gas Systems,22609.332,21345.23,20743.23,20033.684,20048.836,34256.382,21488.28,21576.27,26299.912,37669.91
4178,1002132,562212,Waste,103669.75,131552.0,110122.0,107842.5,110633.5,107965.75,108792.5,133358.75,135266.5,135898.75
4181,1005639,327310,Minerals,345774.11,380012.694,310640.924,296903.256,295071.482,324862.644,365672.802,279974.692,304174.474,264293.538
4183,1007766,327310,Minerals,405036.228,394074.334,443285.58,426984.43,417558.34,406332.91,371567.47,348628.12,415585.31,315619.568
4184,1006255,211130,Petroleum and Natural Gas Systems,145456.164,163680.092,141538.222,102049.274,239815.218,238003.458,173975.654,182519.208,187644.36,131348.042
4186,1002208,562212,Waste,25400.05,21265.55,20712.6,10547.75,11206.3,14955.9,26038.65,41281.1,67611.1,75872.9
4188,1007283,324199,"Petroleum Product Suppliers,Petroleum and Natural Gas Systems",217935.328,257304.16,297346.178,128702.8,0.0,255296.808,297019.124,279286.66,398912.5,309585.72
4189,1001970,332992,Other,39019.504,37910.708,37511.208,34476.52,34978.168,33973.372,38141.356,40977.096,38910.704,41002.596
4190,1000176,562212,Waste,40662.0,43047.0,45572.0,48245.0,50607.0,51601.75,53311.25,55084.5,56717.5,57892.25
4193,1005878,562212,Waste,78424.75,58386.25,53557.75,53470.75,52484.0,67211.0,70134.75,75140.75,99710.0,94447.65
4195,1003588,562212,Waste,7685.706,9368.08,9042.05,10435.212,9166.798,9757.298,10253.72,56730.182,78041.665326,77653.486509
4197,1007649,562212,Waste,26471.536,24703.657773,25223.288,23894.222,26129.93,28029.108,22932.556,36868.886,61212.261885,78016.596652
4198,1002134,562212,Waste,71255.0,69264.25,61938.75,55798.25,52790.5,54280.5,49341.0,49712.75,45401.25,41804.5
