,Facility Id,Facility Name,State,Latitude,Longitude,Primary NAICS Code,Industry Type (sectors),CO2 emissions (non-biogenic) 
3646,1007958,MILLIKEN & COMPANY PENDLETON FINISHING PLANT,SC,34.65874,-82.80247,313210,Other,13550.0
3648,1002210,MILWAUKEE REGIONAL MEDICAL CENTER THERMAL,WI,43.0462,-88.0278,221330,Power Plants,42235.6
3649,1011615,MINISINK COMPRESSOR STATION,NY,41.33645,-74.52533,486210,Petroleum and Natural Gas Systems,50903.6
3650,1006319,MINN DAK FARMERS COOPERATIVE,ND,46.323539,-96.61592,311313,"Minerals,Waste",334926.9
3651,1006609,MINNESOTA SOYBEAN PROCESSORS - BREWSTER,MN,43.705647,-95.456507,311224,Other,63060.2
3652,1003479,MISSISSIPPI LIME CO - CALERA PLANT,AL,33.103834,-86.798859,327410,Minerals,419140.2
3653,1004517,MISSISSIPPI LIME CO - VERONA PLANT,KY,38.827901,-84.758804,327410,Minerals,307833.7
3654,1004386,MISSISSIPPI LIME COMPANY,MO,37.9742,-90.0678,327410,Minerals,2370774.1
3655,1001289,MIT Central Utility Plant,MA,42.3611,-71.0934,611310,Other,111254.1
3656,1002393,MITSUBISHI POLYCRYSTALLINE SILICON AMERICAN CORPORATION,AL,30.529361,-88.142056,331410,Metals,35783.4
3657,1004315,"MITSUBISHI POLYESTER FILM, INC",SC,34.923436,-82.260666,326113,Other,33612.1
3658,1001403,MJMEUC GENERATING STATION 1,MO,39.2499,-91.6444,221112,Power Plants,67811.2
3659,1003426,MMSD-JONES ISLAND WASTEWATER TREATMENT PLANT,WI,43.01932,-87.8978,221320,Other,86854.8
3660,1002030,MOBILE BAY NGL RECOVERY PLANT,AL,30.38948,-88.17295,211130,Petroleum and Natural Gas Systems,36998.3
3661,1001910,MOBILE PAPERBOARD,AL,30.71381,-88.10316,322130,Pulp and Paper,7639.7
3662,1001770,MOCCASIN MIKE SANITARY LANDFILL,WI,46.669699,-91.966796,562212,Waste,34.0
3663,1003100,MODERN LANDFILL,PA,39.960561,-76.5925,562212,Waste,16.2
3664,1003732,"MODERN LANDFILL, INC",NY,43.211361,-78.984472,562212,Waste,74.3
3666,1002057,MOLSON COORS BEVERAGE COMPANY USA LLC,GA,31.5933,-84.08805,312120,Other,29806.9
3667,1002904,MOLSON COORS USA LLC - TRENTON BREWERY,OH,39.45241,-84.4765,312120,Other,31394.4
3668,1006273,MOM BRANDS CO - PLANT 2 - NORTHFIELD,MN,44.45507,-93.17066,311230,Other,38464.6
3669,1001701,MONARCH CEMENT COMPANY (THE),KS,37.797162,-95.431386,327310,Minerals,829766.5
3670,1005389,MONARCH CERAMIC TILE INC,AL,34.829358,-87.668679,327120,Minerals,19167.8
3671,1005054,MONMOUTH COUNTY RECLAMATION CENTER,NJ,40.232904,-74.111831,562212,Waste,186.1
3673,1007585,MONROEVILLE LDFL,PA,40.4022,-79.79867,562212,Waste,61.4
3674,1006766,MONTANA WASTE SYSTEMS - HIGHPLAINS SANITARY LANDFILL,MT,47.62676,-111.18909,562212,Waste,12.4
3676,1000623,MONTGOMERY COUNTY RESOURCE RECOVERY FACILITY,MD,39.200734,-77.456357,562213,Waste,188042.0
3677,1007590,MONTMORENCY-OSCODA-ALPENA WASTE MANAGEME,MI,45.015608,-84.15131,562212,Waste,12.9
3678,1007592,MONTROSE COUNTY LANDFILL,CO,38.5228,-107.82113,562212,Waste,94.5
3679,1004018,"MONUMENT CHEMICAL HOUSTON, LLC",TX,29.75487,-95.10327,325199,Chemicals,62428.9
