Fac_ID,Fac_Name,State,Latitude,Longitude,NAICS,Sector,Total_Emissions,CO2_Emissions
1007396,Targa Midstream Services LLC - Venice Gas Processing Plant,LA,29.238103,-89.386139,211112,Petroleum and Natural Gas Systems,188991.29,188796.2
1003766,Targa Midstream Services LLC - Waddell Compressor Station,TX,31.51513611,-102.538705,211111,Petroleum and Natural Gas Systems,32990.68,32956.7
1004088,Targa Midstream Services LLC - Yscloskey Gas Processing Plant,LA,29.849149,-89.701992,211112,Petroleum and Natural Gas Systems,297574.68,297267.5
1004614,"Targa Midstream Services, LLC - Mont Belvieu Complex",TX,29.75815,-95.36783,211112,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",326556.91,326233.8
1005040,Tata Chemicals (Soda Ash) Partners,WY,41.592551,-109.753909,212391,Minerals,1639564.67,1631457.6
1000334,Tate & Lyle,IL,39.8466,-88.9261,311221,Other,710250.92,704716.0
1000401,Tate & Lyle-Loudon,TN,35.7433,-84.3208,311221,"Other,Suppliers of CO2",405612.85,402870.3
1001604,Teche Power Station,LA,29.8223,-91.5427,221112,Power Plants,672149.01,671466.2
1000819,Tenaska Central Alabama Gen Station,AL,32.6503,-86.7386,221112,Power Plants,685332.96,684637.0
1001303,Tenaska Frontier Generation Station,TX,30.5924,-95.9178,221112,Power Plants,1445734.79,1444266.7
1001331,Tenaska Gateway Generating Station,TX,32.0164,-94.6189,221112,Power Plants,1255631.2,1254356.0
1001302,Tenaska Georgia Generating Station,GA,33.3516,-84.9996,221112,Power Plants,73291.84,73209.9
1000059,Tenaska Kiamichi Generating Station,OK,34.6831,-95.9349,221112,Power Plants,1261583.78,1260303.1
1001394,Tenaska Lindsay Hill,AL,32.6514,-86.7386,221112,Power Plants,382543.33,382154.8
1000818,Tenaska Virginia Generating Station,VA,37.8667,-78.3813,221112,Power Plants,1403465.8,1402041.0
1007734,Terrell Compressor Station,TX,30.366667,-101.833333,486990,Other,31133.33,31101.0
1003128,Terrell Gas Plant,TX,30.3736,-101.8433,211111,"Petroleum and Natural Gas Systems,Suppliers of CO2",53745.05,53690.0
1007144,Terry Bundy Generating Station,NE,40.9108,-96.6147,221112,Power Plants,55232.39,55176.2
1006627,Tesoro CARSON REFINERY,CA,33.81323,-118.24298,324110,"Chemicals,Petroleum Product Suppliers,Refineries,Suppliers of CO2",4454988.11,4429897.6
1005966,Tesoro Mandan Refinery,ND,46.85055,-100.88083,324110,Refineries,510501.97,506681.3
1002338,Tesoro Refining & Marketing Company LLC - LAR,CA,33.7956,-118.2331,324110,"Chemicals,Refineries",1412870.3,1406832.7
1002692,Tesoro Refining & Marketing Company LLC- SRP,CA,33.81428,-118.23222,325188,Chemicals,44357.93,44223.1
1006039,"Tesoro Refining and Marketing Company, Salt Lake City Refinery",UT,40.7889,-111.90441,324110,Refineries,533981.48,531634.1
1001951,Tex-Dallas Compressor Station,WY,43.6597,-106.0105,211111,Petroleum and Natural Gas Systems,52986.4,52931.6
1000504,Texas City Cogeneration,TX,29.3787,-94.944,221112,Power Plants,862508.2,861632.5
1003553,Texas Gas Transmission - Bald Knob Station,AR,35.346943,-91.500275,486210,Petroleum and Natural Gas Systems,63047.01,62981.5
